Popularity,Latitude,Longitude,Applicant
7,37.7748713162388,-122.398531708276,F & C Catering
7,37.7444982132112,-122.396955405842,Quan Catering
4,37.7651064631908,-122.38967948729,"John's Catering #5"
6,37.7593037663834,-122.395902231236,"Natan's Catering"
2,37.7652159489938,-122.406006972029,Munch A Bunch
2,37.7484893849775,-122.415562670854,"Mario's Colombian and Mexican Food"
10,37.7488013777145,-122.400552458785,"Park's Catering"
3,37.7254980479505,-122.388369150442,Liang Bai Ping
3,37.7678524427181,-122.416104892532,"Pipo's Grill"
4,37.7687652509586,-122.416902205953,"John's Catering #5"
0,37.7755890799594,-122.39797690638,"Off the Grid Services, LLC"
10,37.7392165862623,-122.400864373304,Bach Catering
4,37.7479309361129,-122.415193153909,Anas Goodies Catering
4,37.7618523975041,-122.38993209325,Anas Goodies Catering
0,37.7201747226493,-122.389407114342,Singh Brothers Ice Cream
0,37.7812646860228,-122.393229041538,"Off the Grid Services, LLC"
3,37.726470716246,-122.381541219158,Liang Bai Ping
0,37.7909215072692,-122.400100423738,Roadside Rotisserie Corporation / Country Grill
5,37.7780755347517,-122.407711134267,Sun Rise Catering
3,37.7241728927613,-122.389735429011,Liang Bai Ping
3,37.7244132432963,-122.390157239611,Liang Bai Ping
4,37.7508496068125,-122.390027615501,Anas Goodies Catering
6,37.7934414335598,-122.443891213784,D & T Catering
2,37.7885275753132,-122.418313685721,Munch A Bunch
10,37.7475862762565,-122.398865700796,"Park's Catering"
5,37.775950411261,-122.409294222069,Sun Rise Catering
6,37.8037902440403,-122.424145174983,D & T Catering
3,37.7550675419403,-122.41802613269,"Julie's Hot Dogs"
3,37.710933792981,-122.40278453801,Golden Catering
7,37.7438311721327,-122.377797368962,Quan Catering
4,37.7768763887765,-122.400259575202,"Eva's Catering"
4,37.7634629599066,-122.394012947377,Anas Goodies Catering
0,37.7267279782571,-122.388658428832,Singh Brothers Ice Cream
1,37.7941166557094,-122.40242362612,"Wexler, LLC"
0,37.7189398190959,-122.390517872066,Singh Brothers Ice Cream
0,37.7974551567824,-122.399011222821,Bacon Bacon
10,37.7441784473757,-122.386715929759,"Park's Catering"
2,37.767126464778,-122.421782736139,La Falafel
3,37.787157744174,-122.395447605152,Paradise Catering
4,37.8050495090589,-122.41433443694,Anas Goodies Catering
0,37.7898898782098,-122.399930411351,Taza Halal Cart
