Location
"[37.7748713162388, -122.398531708276]"
"[37.7444982132112, -122.396955405842]"
"[37.7651064631908, -122.38967948729]"
"[37.7593037663834, -122.395902231236]"
"[37.7652159489938, -122.406006972029]"
"[37.7484893849775, -122.415562670854]"
"[37.7488013777145, -122.400552458785]"
"[37.7254980479505, -122.388369150442]"
"[37.7678524427181, -122.416104892532]"
"[37.7687652509586, -122.416902205953]"
"[37.7755890799594, -122.39797690638]"
"[37.7392165862623, -122.400864373304]"
"[37.7479309361129, -122.415193153909]"
"[37.7618523975041, -122.38993209325]"
"[37.7201747226493, -122.389407114342]"
"[37.7812646860228, -122.393229041538]"
"[37.726470716246, -122.381541219158]"
"[37.7909215072692, -122.400100423738]"
"[37.7780755347517, -122.407711134267]"
"[37.7241728927613, -122.389735429011]"
"[37.7244132432963, -122.390157239611]"
"[37.7508496068125, -122.390027615501]"
"[37.7934414335598, -122.443891213784]"
"[37.7885275753132, -122.418313685721]"
"[37.7475862762565, -122.398865700796]"
"[37.775950411261, -122.409294222069]"
"[37.8037902440403, -122.424145174983]"
"[37.7550675419403, -122.41802613269]"
"[37.710933792981, -122.40278453801]"
"[37.7438311721327, -122.377797368962]"
"[37.7768763887765, -122.400259575202]"
"[37.7634629599066, -122.394012947377]"
"[37.7267279782571, -122.388658428832]"
"[37.7941166557094, -122.40242362612]"
"[37.7189398190959, -122.390517872066]"
"[37.7974551567824, -122.399011222821]"
"[37.7441784473757, -122.386715929759]"
"[37.767126464778, -122.421782736139]"
"[37.787157744174, -122.395447605152]"
"[37.8050495090589, -122.41433443694]"
"[37.7898898782098, -122.399930411351]"
"[37.7689035205665, -122.415981174601]"
"[37.7901490737255, -122.398658184604]"
"[37.7242977785276, -122.459377309548]"
"[37.7706833950426, -122.420879561399]"
"[37.7895693138966, -122.395129390521]"
"[37.7949290950499, -122.443832982483]"
"[37.793186123336, -122.445889418675]"
"[37.7298054805741, -122.399247104724]"
"[37.7909470419234, -122.398633589404]"
"[37.7512694058781, -122.389894366944]"
"[37.792609401119, -122.401314905451]"
"[37.7334388116408, -122.380467549518]"
"[37.7638640323832, -122.458391749844]"
"[37.7261456924729, -122.388227740903]"
"[37.7806943774082, -122.409668813219]"
"[37.7424951959228, -122.391617595098]"
"[37.7638640323832, -122.458391749844]"
"[37.7325564744198, -122.40585465611]"
"[37.7267257938118, -122.389249858027]"
"[37.7270146636245, -122.387497359022]"
"[37.7659084792055, -122.390143076585]"
"[37.7875875047281, -122.390471540332]"
"[37.7789185898934, -122.446748796815]"
"[37.7922616341775, -122.403485955391]"
"[37.716991290324, -122.38959908417]"
"[37.7642023783019, -122.39428524234]"
"[37.7896668269621, -122.451627836117]"
"[37.7116322811949, -122.390016333636]"
